#No.	Label Name:	R	G	B	A
199	rh_lingual_part1	119	243	224	0
200	rh_lingual_part2	5	11	141	0
201	rh_lingual_part3	138	33	203	0
202	rh_lingual_part4	117	71	151	0
203	rh_lingual_part5	177	32	154	0
204	rh_lingual_part6	96	241	6	0
205	rh_medialorbitofrontal_part1	158	141	20	0
206	rh_medialorbitofrontal_part2	233	142	25	0
207	rh_medialorbitofrontal_part3	43	87	206	0
208	rh_middletemporal_part1	102	53	198	0
209	rh_middletemporal_part2	151	89	10	0
210	rh_middletemporal_part3	27	80	171	0
211	rh_middletemporal_part4	94	70	204	0
212	rh_middletemporal_part5	104	26	30	0
213	rh_middletemporal_part6	73	141	206	0
214	rh_parahippocampal_part1	199	225	148	0
215	rh_parahippocampal_part2	250	246	177	0
216	rh_paracentral_part1	138	127	204	0
217	rh_paracentral_part2	195	207	57	0
218	rh_paracentral_part3	151	41	177	0
219	rh_parsopercularis_part1	250	115	255	0
220	rh_parsopercularis_part2	72	112	49	0
221	rh_parsopercularis_part3	206	121	42	0
222	rh_parsorbitalis_part1	156	35	135	0
223	rh_parstriangularis_part1	226	219	246	0
224	rh_parstriangularis_part2	201	3	233	0
225	rh_parstriangularis_part3	35	110	119	0
226	rh_pericalcarine_part1	73	200	113	0
227	rh_pericalcarine_part2	87	142	26	0
228	rh_pericalcarine_part3	199	193	176	0
229	rh_postcentral_part1	178	3	13	0
230	rh_postcentral_part2	208	64	204	0
231	rh_postcentral_part3	150	149	22	0
232	rh_postcentral_part4	96	15	216	0
233	rh_postcentral_part5	33	175	81	0
234	rh_postcentral_part6	191	175	234	0
235	rh_postcentral_part7	240	206	151	0
236	rh_postcentral_part8	175	75	223	0
237	rh_posteriorcingulate_part1	238	246	113	0
238	rh_posteriorcingulate_part2	6	38	177	0
239	rh_precentral_part1	87	221	41	0
240	rh_precentral_part2	89	56	182	0
241	rh_precentral_part3	118	88	148	0
242	rh_precentral_part4	144	73	184	0
243	rh_precentral_part5	212	99	139	0
244	rh_precentral_part6	52	156	35	0
245	rh_precentral_part7	29	193	85	0
246	rh_precentral_part8	39	70	61	0
247	rh_precentral_part9	197	14	159	0
248	rh_precuneus_part1	12	82	223	0
249	rh_precuneus_part2	28	6	105	0
250	rh_precuneus_part3	249	98	196	0
251	rh_precuneus_part4	174	209	202	0
252	rh_precuneus_part5	206	161	153	0
253	rh_precuneus_part6	44	86	235	0
254	rh_precuneus_part7	23	61	222	0
255	rh_rostralanteriorcingulate_part1	182	56	185	0
256	rh_rostralmiddlefrontal_part1	185	63	57	0
257	rh_rostralmiddlefrontal_part2	51	125	20	0
258	rh_rostralmiddlefrontal_part3	59	31	177	0
259	rh_rostralmiddlefrontal_part4	152	217	27	0
260	rh_rostralmiddlefrontal_part5	4	234	174	0
261	rh_rostralmiddlefrontal_part6	239	125	36	0
262	rh_rostralmiddlefrontal_part7	236	65	145	0
263	rh_rostralmiddlefrontal_part8	110	254	22	0
264	rh_rostralmiddlefrontal_part9	114	104	47	0
265	rh_rostralmiddlefrontal_part10	141	31	153	0
266	rh_superiorfrontal_part1	61	97	219	0
267	rh_superiorfrontal_part2	52	14	34	0
268	rh_superiorfrontal_part3	20	81	4	0
269	rh_superiorfrontal_part4	67	48	17	0
270	rh_superiorfrontal_part5	19	254	185	0
271	rh_superiorfrontal_part6	67	44	91	0
272	rh_superiorfrontal_part7	196	134	110	0
273	rh_superiorfrontal_part8	34	19	22	0
274	rh_superiorfrontal_part9	198	6	195	0
275	rh_superiorfrontal_part10	26	243	244	0
276	rh_superiorfrontal_part11	181	163	154	0
